Frequency [Hz],A2,AY1,AY2,AY3,AY5,AY6,AY7,R1,R2,AZ2,AZ4,AZ5,AZ6,AZ7,E11,E12,E13,A4,A5,A6,A7,A8,A9,A10
2.5,2.03268588743632,1.6520925016900663,1.551609203689022,1.429780264101305,1.0261274545268944,0.9093685602113561,1.2496864148305953,1.2550979532806428,1.26159544526523,1.2526627071536816,1.2455469686205258,1.2411528923677408,1.23931395443514,1.2274180446691954,1.9838574753783307,1.633573610565028,1.0184992074540034,1.9528986621841258,1.8556173463276122,1.6554198462276148,1.4047340876410312,1.1472471026892903,1.0163915009253797,1.6899712649663972
2.625,2.601721457625464,2.3062421164503237,2.0857907832610496,1.7612198003310586,0.9751419049171901,0.7736050095260947,1.1481907329649603,1.183082695056758,1.1634684133076592,1.1943962874378042,1.1900801462694794,1.1917619894060905,1.194088613877491,1.1896019141121488,2.6099615659336033,1.9661002707329678,0.9990103889168565,2.477155206564319,2.278325964727809,1.9288089778643762,1.568237117290129,1.173368984767788,0.9949697066259031,2.3721851875271245
2.75,2.192494857247754,2.0661342089002788,1.9153356477320245,1.717000404886901,1.0783979675725233,0.9032489175806854,1.2343567790918903,1.2372106907716525,1.2428916768722524,1.2396964817624945,1.231853515323304,1.2363098162787791,1.2336303894267762,1.223169983838263,2.1728733733063077,1.7655069448656937,1.020759984756267,2.09649841373815,1.989849862896985,1.7604772835828582,1.4787668738335114,1.1712281530184883,1.014693328440542,2.1305874923830803
2.875,3.340443444417853,3.013542317460475,2.7035344103535084,2.2601335524000783,1.0745127323867691,0.7870182976404353,1.2040485296339993,1.1908544449167164,1.2114771490482683,1.2235463141630054,1.1896859811169962,1.2100670233740278,1.2281302111640895,1.2259472303245045,3.3659583155657584,2.4460708709655896,1.026330311242289,3.1593829826195625,2.8813253501874376,2.3874475869061436,1.8790894710156343,1.2905836234155776,1.0246093257388589,3.093386349240446
3.0,3.089436310944568,2.897164558594551,2.640541807474001,2.2996106324502135,1.1928671450732058,0.9033439779836201,1.2337694343991403,1.250740757585135,1.2570435099973665,1.2494644484283568,1.249402876996686,1.2446086733372452,1.2371753303278767,1.2168742861546629,3.0544683989813186,2.291887177104895,1.019497011997861,2.9185196571082885,2.705092566602559,2.294285168130422,1.7949533389696208,1.2724314320407344,1.0174979851440005,3.0057049900510573
3.125,4.316840684158011,3.2308766435779988,2.870883044384795,2.3734253141363473,1.0952763696844927,0.7773147310226447,1.1700911139630532,1.1940496567266268,1.1671856892456574,1.166197184659565,1.1869087546004633,1.1849777800135826,1.202620791666413,1.1835816803817827,4.334344291830192,3.0781670410994475,1.0242071203789416,4.04979910484646,3.694975957442806,3.0325118120862276,2.256872224429116,1.4196242054573032,1.0189627444014877,3.33804627786411
3.25,4.31220856650161,3.5776944692077155,3.2370443841442285,2.7602568840177857,1.2877893894940557,0.9101851308983143,1.232283028541179,1.248201719562823,1.2539119889455588,1.2507200328731476,1.2529629532110729,1.246481249339413,1.2449190768076552,1.2240017757688393,4.298339075745978,3.06816320167609,1.019828973636601,4.0342612257913055,3.692015447064447,3.0547722209175423,2.2629318905313056,1.4230437109680458,1.0217845404187518,3.7123215509547687
3.375,6.322814818043277,4.899052506859015,4.314238593143469,3.478100816277833,1.2436194131858227,0.7719128522071084,1.2200954922218163,1.1896584388682803,1.2094608499376078,1.2240274208286415,1.1983140571618387,1.2090651066195401,1.219719167434722,1.2126938217171033,6.361719490227658,4.352387453702434,1.0472770557500417,5.87729109763307,5.299272858848232,4.2888932802250554,3.0537844277885013,1.6769499676024686,1.0295743047982095,5.100705609419311
3.5,5.683703992681426,6.023609681537076,5.368916206878547,4.420503616941997,1.5792789874155684,0.9155869989327522,1.2402061364662702,1.2539125954651111,1.2700461742911664,1.2593207579495782,1.251618376505602,1.2497735103355532,1.2411594746328962,1.2286736368594748,5.678875219176098,3.897154509000664,1.0153092768183485,5.288078028054626,4.792588662535819,3.8844346192345762,2.7469866884127665,1.567424827014407,1.021034400898121,6.278929542908921
3.625,12.274033756801531,9.671325037720184,8.507568585759572,6.763892890793438,2.0598696128915455,0.846805890427295,1.1567692760574928,1.2466695374037224,1.4952236252189264,1.3219373846003428,1.2756275996460786,1.2617888259977528,1.2295115881915148,1.2248343558012917,12.660607273846562,8.152697860529562,1.0050513165385093,11.244824694420657,10.033790614153231,7.915555880721266,5.2882004961985745,2.3855826268089175,1.0254893874431612,9.976581304504048
3.75,9.421853791844713,7.717979956391138,6.746029215498413,5.339864655417068,1.4094808537583665,0.9060929540470781,1.2247880793336197,1.2454103910809549,1.309531761952237,1.2642784272794405,1.2421161387958957,1.237181538383613,1.223032655972789,1.2190360061724144,9.650141318234825,6.019173056589607,1.021132158987705,8.60968707556778,7.611124674218113,5.888605965698666,3.7950039053305833,1.718086418386567,1.0230037857909753,8.075698093476277
3.875,11.691025588867717,5.818611095962678,5.098734564416834,3.962443815246974,1.2104124081155019,0.7934121368354753,1.2133120761972693,1.2365870832694545,1.33730869474758,1.2784519458943862,1.250976445925035,1.2474599820805965,1.229377401103163,1.2155525993893026,12.375421332018464,7.5416580020330635,1.0056051344514871,10.570279548598776,9.334410354903524,7.205355261695055,4.525334924777581,1.751200035399365,1.0166288742302396,5.966277723337415
4.0,6.787715974455175,6.165478710492756,5.3681522194572615,4.348022534985051,1.066391958566847,0.9155286978511091,1.2460388060321246,1.274199211149669,1.3850682154115654,1.3034958521994997,1.2665951650767533,1.2620931851688644,1.2334795051224778,1.224879994128216,6.428889996305059,4.040436016290177,1.018761206933484,6.312158622376066,5.603470946556134,4.297473386391785,2.6316084686127117,1.2571542755563865,1.0198071478369248,6.670821313799129
